iter	Passed	Remaining
398	16038	12219
399	16074	12176
400	16109	12132
401	16162	12101
402	16194	12055
403	16228	12010
404	16255	11961
405	16285	11913
406	16312	11863
407	16338	11813
408	16370	11767
409	16397	11718
410	16425	11669
411	16452	11620
412	16494	11582
413	16531	11540
414	16562	11494
415	16596	11450
416	16624	11402
417	16657	11357
418	16682	11307
419	16710	11259
420	16735	11209
421	16766	11164
422	16792	11115
423	16817	11066
424	16847	11019
425	16878	10974
426	16904	10926
427	16929	10877
428	16995	10855
429	17024	10808
430	17053	10762
431	17082	10716
432	17115	10672
433	17149	10629
434	17204	10599
435	17235	10554
436	17262	10507
437	17292	10462
438	17336	10425
439	17365	10379
440	17391	10332
441	17422	10288
442	17452	10243
443	17499	10207
444	17528	10162
445	17557	10117
446	17616	10089
447	17649	10046
448	17681	10002
449	17714	9959
450	17740	9912
451	17767	9866
452	17798	9822
453	17831	9779
454	17862	9736
455	17891	9691
456	17924	9648
457	17951	9602
458	18018	9578
459	18061	9541
460	18092	9497
461	18164	9475
462	18233	9451
463	18262	9406
464	18296	9364
465	18330	9322
466	18363	9279
467	18394	9236
468	18426	9193
469	18468	9155
470	18497	9111
471	18534	9070
472	18568	9028
473	18594	8983
474	18651	8952
475	18705	8920
476	18732	8875
477	18784	8841
478	18823	8802
479	18855	8759
480	18881	8714
481	18915	8672
482	18943	8628
483	18976	8586
484	19008	8544
485	19039	8501
486	19070	8458
487	19102	8416
488	19134	8373
489	19162	8329
490	19191	8286
491	19235	8249
492	19270	8208
493	19312	8170
494	19343	8128
495	19372	8084
496	19402	8041
497	19432	7999
498	19468	7959
499	19501	7917
500	19547	7881
501	19600	7847
502	19634	7807
503	19663	7763
504	19696	7722
505	19724	7679
506	19750	7635
507	19797	7599
508	19834	7559
509	19870	7519
510	19927	7487
511	19992	7457
512	20028	7417
513	20059	7376
514	20100	7337
515	20152	7303
516	20215	7272
517	20254	7233
518	20312	7201
519	20344	7159
520	20378	7118
521	20419	7080
522	20472	7046
523	20512	7007
524	20570	6974
525	20604	6933
526	20655	6898
527	20689	6857
528	20722	6816
529	20756	6775
530	20791	6734
531	20824	6693
532	20860	6653
533	20904	6615
534	20941	6576
535	20981	6537
536	21051	6507
537	21087	6467
538	21124	6427
539	21165	6388
540	21233	6358
541	21266	6317
542	21305	6277
543	21350	6240
544	21383	6199
545	21427	6161
546	21500	6131
547	21530	6089
548	21563	6048
549	21601	6009
550	21633	5967
551	21699	5935
552	21729	5894
553	21760	5852
554	21794	5811
555	21826	5770
556	21860	5730
557	21908	5693
558	21945	5653
559	21978	5612
560	22009	5571
561	22042	5530
562	22072	5488
563	22097	5446
564	22143	5408
565	22220	5378
566	22248	5336
567	22287	5297
568	22333	5259
569	22359	5217
570	22389	5175
571	22414	5133
572	22454	5094
573	22477	5051
574	22511	5011
575	22538	4969
576	22567	4928
577	22605	4888
578	22660	4853
579	22692	4812
580	22720	4770
581	22748	4729
582	22773	4687
583	22801	4646
584	22831	4605
585	22867	4565
586	22905	4526
587	22934	4485
588	22986	4448
589	23019	4408
590	23049	4368
591	23079	4327
592	23107	4286
593	23135	4245
594	23164	4204
595	23196	4164
596	23223	4123
597	23263	4084
598	23297	4044
599	23348	4008
600	23387	3969
601	23415	3928
602	23526	3901
603	23573	3863
604	23604	3823
605	23638	3783
606	23665	3742
607	23694	3702
608	23725	3662
609	23773	3624
610	23815	3585
611	23841	3545
612	23880	3506
613	23911	3466
614	23958	3428
615	24006	3390
616	24034	3349
617	24060	3309
618	24088	3268
619	24117	3228
620	24148	3188
621	24174	3148
622	24204	3108
623	24232	3067
624	24260	3027
625	24289	2987
626	24317	2947
627	24346	2907
628	24370	2867
629	24402	2827
630	24431	2787
631	24462	2748
632	24503	2709
633	24532	2669
634	24558	2629
635	24588	2590
636	24617	2550
637	24645	2510
638	24680	2471
639	24707	2432
640	24759	2394
641	24787	2355
642	24813	2315
643	24871	2278
644	24927	2241
645	24953	2201
646	24981	2162
647	25026	2124
648	25060	2085
649	25091	2045
650	25136	2007
651	25171	1968
652	25200	1929
653	25231	1890
654	25270	1851
655	25321	1814
656	25366	1776
657	25401	1737
658	25433	1698
659	25463	1658
660	25495	1619
661	25531	1581
662	25585	1543
663	25614	1504
664	25678	1467
665	25706	1428
666	25740	1389
667	25784	1351
668	25824	1312
669	25855	1273
670	25887	1234
671	25917	1195
672	25944	1156
673	25975	1117
674	26016	1079
675	26055	1040
676	26091	1002
677	26119	963
678	26146	924
679	26181	885
680	26222	847
681	26264	808
682	26299	770
683	26333	731
684	26366	692
685	26391	654
686	26434	615
687	26473	577
688	26501	538
689	26530	499
690	26556	461
691	26588	422
692	26638	384
693	26680	345
694	26716	307
695	26747	269
696	26785	230
697	26813	192
698	26842	153
699	26878	115
700	26919	76
701	26984	38
702	27022	0
