iter	Logloss
0	0.6929078428
1	0.6929031326
2	0.6929016133
3	0.6929001373
4	0.692414474
5	0.6924130634
6	0.6918125177
7	0.6918111798
8	0.6918098801
9	0.6918086178
10	0.6854767798
11	0.6852964195
12	0.6845771518
13	0.6837604118
14	0.6837587324
15	0.6837571009
16	0.683755513
17	0.6837505307
18	0.6791975681
19	0.6791785144
20	0.6791770026
21	0.6791755339
22	0.6791741071
23	0.6731399624
24	0.6729857296
25	0.6729839049
26	0.6729821321
27	0.6723226042
28	0.6723209223
29	0.6723192884
30	0.672317701
31	0.672316159
32	0.6719028003
33	0.6719013379
34	0.6718999173
35	0.6718985372
36	0.6718971964
37	0.6716807985
38	0.6716795197
39	0.6710833731
40	0.6710821522
41	0.6710500145
42	0.6710488609
43	0.6710477402
44	0.6710466514
45	0.6710455937
46	0.670910989
47	0.67060304
48	0.6699310741
49	0.6698484505
50	0.6698474665
51	0.6640856121
52	0.6640842349
53	0.6640767638
54	0.6640281983
55	0.663973279
56	0.6636164251
57	0.6636152153
58	0.6579736638
59	0.657971991
60	0.6540092446
61	0.6536745811
62	0.6536728967
63	0.6536712604
64	0.6532629133
65	0.6532613494
66	0.6532583064
67	0.6532568304
68	0.6532553965
69	0.6532540036
70	0.6470130912
71	0.6470110599
72	0.6470090864
73	0.6470071693
74	0.6470053068
75	0.6469546522
76	0.6469528937
77	0.6469511853
78	0.6468807963
79	0.6468791849
80	0.6468776195
81	0.6468760987
82	0.6468746213
83	0.646873186
84	0.6465827908
85	0.641289697
86	0.6412877382
87	0.641160263
88	0.6408762428
89	0.6408744476
90	0.6408727036
91	0.6408710093
92	0.6378533683
93	0.6376036081
94	0.6376020041
95	0.6376004458
96	0.637598932
97	0.6371042138
98	0.6341727183
99	0.6341711993
100	0.6341697235
101	0.6294787009
102	0.6294767756
103	0.6294749052
104	0.6289399815
105	0.6289381332
106	0.6289363377
107	0.6286126011
108	0.628610905
109	0.6285060878
110	0.6281143917
111	0.6281128447
112	0.6281113418
113	0.6281098818
114	0.6279903567
115	0.6279889815
116	0.6277444901
117	0.6277431863
118	0.6275812003
119	0.6275799703
120	0.6275787753
121	0.6274090406
122	0.6274079212
123	0.6273098888
124	0.627293738
125	0.6270341298
126	0.6270330743
127	0.6269939833
128	0.6269929865
129	0.6269920181
130	0.6269435873
131	0.6269426736
132	0.6269417861
133	0.6222352218
134	0.6222339422
135	0.6222326991
136	0.6221312961
137	0.6218579776
138	0.621656053
139	0.6216548892
140	0.6216537587
141	0.6216526604
142	0.6216515934
143	0.6216505569
144	0.6211000436
145	0.6210989966
146	0.6210979794
147	0.6210969913
148	0.6210960313
149	0.6210950987
150	0.6210941928
151	0.6210929377
152	0.6210920828
153	0.6210524531
154	0.6208674175
155	0.620866593
156	0.6162222542
157	0.6136964492
158	0.6136951852
159	0.6136670155
160	0.6136658228
161	0.6092685891
162	0.6089007611
163	0.608899164
164	0.6088511532
165	0.608849648
166	0.6088481857
167	0.6088467651
168	0.6088453851
169	0.6087278387
170	0.6085974141
171	0.6085961447
172	0.6085949115
173	0.6085937135
174	0.6085925497
175	0.6085914191
176	0.6085903207
177	0.6085892536
178	0.608588217
179	0.60858721
180	0.6085862316
181	0.6084989864
182	0.6084980684
183	0.6084971766
184	0.6084963102
185	0.6084954686
186	0.6080993737
187	0.6080985782
188	0.6080978053
189	0.6079899945
190	0.607989267
191	0.6079885603
192	0.6079878737
193	0.6075348621
194	0.607534204
195	0.6075335647
196	0.6075329437
197	0.6074694953
198	0.6074689094
199	0.6032181258
200	0.6032172345
201	0.6032163686
202	0.6031756047
203	0.6009021686
204	0.6009013346
205	0.6009005229
206	0.6008997358
207	0.6006866735
208	0.6006470686
209	0.6006372906
210	0.6006365973
211	0.6006359238
212	0.6006352696
213	0.6006346339
214	0.5964929988
215	0.5964920623
216	0.5964791205
217	0.5964782368
218	0.5964773783
219	0.5964710313
220	0.5964702211
221	0.5964509385
222	0.596416369
223	0.596382789
224	0.5963815844
225	0.5963449884
226	0.5963443024
227	0.596343636
228	0.5963429887
229	0.5963125752
230	0.5959792455
231	0.5959786274
232	0.595978027
233	0.5959215858
234	0.5958601925
235	0.5958286922
236	0.5958281443
237	0.5958216071
238	0.59582109
239	0.5958205877
240	0.5958200997
241	0.5956661482
242	0.5956646401
243	0.5956641879
244	0.5956637486
245	0.5956633218
246	0.5956042079
247	0.5916776575
248	0.5916769264
249	0.5916762161
250	0.5916755261
251	0.5914754509
252	0.5914747767
253	0.5914741217
254	0.5914734854
255	0.5914728673
256	0.5879307784
257	0.5846554759
258	0.5846542454
259	0.5813346292
260	0.5813310341
261	0.5813295357
262	0.5813280801
263	0.581326666
264	0.5812966151
265	0.5794321537
266	0.579430812
267	0.5794284135
268	0.5794271474
269	0.5794259173
270	0.5794247224
271	0.5794235615
272	0.5794224338
273	0.5794213382
274	0.5794202739
275	0.5793255317
276	0.5793245295
277	0.5793235558
278	0.5793226099
279	0.579321691
280	0.5793207983
281	0.579319931
282	0.5793160654
283	0.5793152467
284	0.5793144513
285	0.5790664747
286	0.5790657238
287	0.5790506725
288	0.5790499626
289	0.5790492729
290	0.579048603
291	0.5789953901
292	0.5789947599
293	0.5789941477
294	0.578993553
295	0.5789929752
296	0.5789924139
297	0.5759604769
298	0.575959668
299	0.5759588822
300	0.5759581188
301	0.5730737357
302	0.5730727122
303	0.5730717179
304	0.5730224084
305	0.5729381845
306	0.5729138927
307	0.572913014
308	0.5729121605
309	0.5729113313
310	0.5729105257
311	0.5728966463
312	0.5728958861
313	0.5727291204
314	0.5727283998
315	0.5726573873
316	0.5726566976
317	0.5726560275
318	0.5726553765
319	0.5726302156
320	0.572629601
321	0.5726290039
322	0.5726281239
323	0.5726275604
324	0.572627013
325	0.5726264812
326	0.5726251585
327	0.5722820973
328	0.5722815786
329	0.5722810748
330	0.5722805853
331	0.5693755504
332	0.5693748257
333	0.5693741217
334	0.5693734378
335	0.5693727734
336	0.5693553105
337	0.5693546834
338	0.5693540743
339	0.5693534816
340	0.5693529068
341	0.5692169864
342	0.5692164388
343	0.5692159067
344	0.5692153899
345	0.5665401068
346	0.5665393766
347	0.5665386672
348	0.563709245
349	0.5637082736
350	0.5637073018
351	0.5637063851
352	0.5636066414
353	0.5636057791
354	0.5636049415
355	0.5636041278
356	0.5636033373
357	0.5636025693
358	0.5636018232
359	0.5636010985
360	0.5635443972
361	0.563543713
362	0.5635430483
363	0.563494901
364	0.5634942726
365	0.5634934698
366	0.5634928768
367	0.5632155613
368	0.5632149773
369	0.56321441
370	0.5632138589
371	0.5631843804
372	0.563026926
373	0.5630264227
374	0.5630002753
375	0.5629998002
376	0.5629993189
377	0.5629981401
378	0.5628478244
379	0.5628473992
380	0.5628469861
381	0.5628465847
382	0.5628031383
383	0.562802761
384	0.5628023945
385	0.5628020384
386	0.5628016925
387	0.5628013565
388	0.5627918745
389	0.5627915574
390	0.5627912494
391	0.5627909502
392	0.5627906595
393	0.5627654996
394	0.5626862379
395	0.5626859729
396	0.5626848667
397	0.5626334284
398	0.5626331853
399	0.5626329491
400	0.5626103666
401	0.5625502727
402	0.562550056
403	0.5625075731
404	0.5625073701
405	0.5625071728
406	0.5625069812
407	0.5625068356
408	0.5624981544
409	0.5624979776
410	0.5624978113
411	0.5624976846
412	0.5623788857
413	0.5623424547
414	0.5623422887
415	0.5623421651
416	0.5623420222
417	0.5623418901
418	0.5623417402
419	0.5623416151
420	0.5623416061
421	0.5621979809
422	0.562197855
423	0.5621977197
424	0.5621975883
425	0.5621012968
426	0.5621012083
427	0.5621011469
428	0.5620384657
429	0.5620384654
430	0.5620384636
431	0.5620383466
432	0.5620382459
433	0.5620381495
434	0.5619429624
435	0.5619428667
436	0.5619428037
437	0.5619427418
438	0.5618334539
439	0.5618333905
440	0.5618333468
441	0.561833329
442	0.5618332419
443	0.5593435955
444	0.5593433875
445	0.5593431854
446	0.5593306787
447	0.5593304877
448	0.5593303022
449	0.5593301333
450	0.5593299797
451	0.559329814
452	0.5593297644
453	0.5593295996
454	0.5593294394
455	0.5593293129
456	0.5593292189
457	0.5593291021
458	0.5592175089
459	0.5591953309
460	0.5591952517
461	0.5563630052
462	0.556208345
463	0.5562080766
464	0.5562078158
465	0.5562075625
466	0.5562073164
467	0.5562070774
468	0.5562068451
469	0.5562066265
470	0.5562064071
471	0.556206194
472	0.5561020031
473	0.5561017996
474	0.5545653102
475	0.554564989
476	0.5545647894
477	0.5545631001
